Time: 0.258, Fy: 0.122928, U1: 25.6854, U2: -0.0104175, U3: 2.54802e-05, U4: -8.66599e-05
Time: 0.309, Fy: 0.201916, U1: 31.9996, U2: -0.049995, U3: -0.000135056, U4: -0.00247776
Time: 0.361, Fy: 0.233916, U1: 31.9995, U2: -0.0499091, U3: 0.00162037, U4: 0.00469433
Time: 0.41, Fy: 0.167286, U1: 31.9996, U2: -0.0499916, U3: -0.00629343, U4: -0.00289048
Time: 0.467, Fy: 0.142282, U1: 31.9994, U2: -0.0286131, U3: -0.00743194, U4: -0.00347784
Time: 0.523, Fy: 0.140731, U1: 31.9985, U2: 0.0103808, U3: -0.00646052, U4: -0.00361969
Time: 0.575, Fy: 0.15817, U1: 31.997, U2: 0.0448032, U3: -0.00388735, U4: -0.00315339
Time: 0.63, Fy: 0.27075, U1: 31.3983, U2: 0.0499866, U3: -0.0005611, U4: -0.00232351
Time: 0.683, Fy: 0.264674, U1: 30.2125, U2: 0.0499872, U3: 0.000887519, U4: -0.00185161
Time: 0.738, Fy: 0.250972, U1: 27.1259, U2: 0.0499806, U3: 0.00215228, U4: -0.00110408
Time: 0.788, Fy: 0.200574, U1: 25.4524, U2: 0.0499679, U3: 0.00226067, U4: -0.000553951
Time: 0.834, Fy: 0.282564, U1: 25.0299, U2: 0.0499869, U3: 0.00187626, U4: -0.000231573
Time: 0.886, Fy: 0.430086, U1: 25.0031, U2: 0.0499831, U3: 0.00128583, U4: 0.000274373
Time: 0.937, Fy: 0.158378, U1: 25.0025, U2: 0.0498771, U3: 0.000846455, U4: 0.000479497
Time: 0.985, Fy: 0.151479, U1: 25.0129, U2: 0.0497835, U3: 0.000353713, U4: 0.000669135
Time: 1.029, Fy: 0.283292, U1: 25.0139, U2: 0.0499249, U3: 0.000151893, U4: 0.000718929
Time: 1.081, Fy: 0.243664, U1: 25.0052, U2: 0.0356337, U3: 0.000238096, U4: 0.000785537
Time: 1.133, Fy: 0.204499, U1: 25.954, U2: 0.0249232, U3: 0.000330897, U4: 0.000770824
Time: 1.181, Fy: 0.161697, U1: 27.188, U2: 0.0169401, U3: 0.000472398, U4: 0.00071445
Time: 1.231, Fy: 0.169839, U1: 26.5193, U2: 0.00903334, U3: 0.000619016, U4: 0.000648822
Time: 1.281, Fy: 0.230464, U1: 25.9592, U2: 0.00660283, U3: 0.000674523, U4: 0.000601084
Time: 1.33, Fy: 0.21124, U1: 27.7874, U2: 0.0036283, U3: 0.000685789, U4: 0.00053779
Time: 1.379, Fy: 0.154537, U1: 27.4686, U2: 0.00432038, U3: 0.000652086, U4: 0.000496347
Time: 1.431, Fy: 0.203774, U1: 28.5609, U2: 0.00173844, U3: 0.000552269, U4: 0.000431944
Time: 1.479, Fy: 0.175843, U1: 29.3157, U2: 0.00361078, U3: 0.000495822, U4: 0.000369685
Time: 1.529, Fy: 0.20071, U1: 29.4968, U2: 0.000465429, U3: 0.000428655, U4: 0.000326796
Time: 1.579, Fy: 0.183974, U1: 28.7682, U2: -0.000591207, U3: 0.00036136, U4: 0.000264094
Time: 1.628, Fy: 0.192766, U1: 28.6914, U2: -0.00186875, U3: 0.000336266, U4: 0.000227663
Time: 1.677, Fy: 0.19732, U1: 28.6644, U2: -0.0067993, U3: 0.000275659, U4: 0.000176128
Time: 1.729, Fy: 0.181056, U1: 26.5562, U2: -0.00563753, U3: 0.000152154, U4: 0.000126307
Time: 1.781, Fy: 0.176062, U1: 26.9659, U2: -0.0103692, U3: 9.83983e-05, U4: 0.000102324
Time: 1.828, Fy: 0.226516, U1: 26.3377, U2: -0.00367015, U3: 0.000107654, U4: 7.87169e-05
Time: 1.881, Fy: 0.181255, U1: 25.3309, U2: -0.00176095, U3: -5.60372e-05, U4: 4.75528e-05
Time: 1.93, Fy: 0.182506, U1: 25.1794, U2: 0.00368439, U3: -5.0321e-05, U4: 3.7596e-05
Time: 1.978, Fy: 0.137089, U1: 26.0369, U2: -0.00167586, U3: -9.69055e-05, U4: 2.26226e-05
Time: 2.026, Fy: 0.132706, U1: 26.3401, U2: -0.00369069, U3: -0.000134378, U4: 1.34855e-05
Time: 2.072, Fy: 0.127668, U1: 27.0902, U2: -0.00730205, U3: -0.000166279, U4: 3.77076e-06
Time: 2.12, Fy: 0.125832, U1: 27.1292, U2: -0.00883684, U3: -0.000231386, U4: -3.60605e-06
Time: 2.169, Fy: 0.176035, U1: 27.397, U2: -0.00947859, U3: -0.000297351, U4: -1.07247e-05
Time: 2.212, Fy: 0.140841, U1: 28.6014, U2: -0.00967046, U3: -0.000262372, U4: -9.76865e-06
Time: 2.268, Fy: 0.212985, U1: 27.2164, U2: -0.00441019, U3: -0.000406586, U4: -2.00541e-05
Time: 2.313, Fy: 0.200767, U1: 29.308, U2: -0.00525929, U3: -0.000339721, U4: -1.64307e-05
Time: 2.367, Fy: 0.135435, U1: 27.9135, U2: 0.00274454, U3: -0.000397974, U4: -2.1546e-05
Time: 2.411, Fy: 0.17392, U1: 30.06, U2: 0.00283202, U3: -0.000347802, U4: -1.84257e-05
Time: 2.462, Fy: 0.196596, U1: 27.2378, U2: 0.0118753, U3: -0.000364185, U4: -1.96467e-05
Time: 2.513, Fy: 0.214245, U1: 26.7312, U2: 0.0134629, U3: -0.00036094, U4: -1.87966e-05
Time: 2.563, Fy: 0.128663, U1: 26.3893, U2: 0.0140336, U3: -0.000350067, U4: -1.57391e-05
Time: 2.612, Fy: 0.160751, U1: 25.6409, U2: 0.0178297, U3: -0.000325407, U4: -1.19405e-05
Time: 2.661, Fy: 0.140406, U1: 25.8398, U2: 0.0146018, U3: -0.000302855, U4: -8.96297e-06
Time: 2.71, Fy: 0.141124, U1: 25.8428, U2: 0.0108538, U3: -0.000266048, U4: -4.00153e-06
Time: 2.758, Fy: 0.137711, U1: 26.0149, U2: 0.00700619, U3: -0.000244511, U4: -1.26307e-06
Time: 2.806, Fy: 0.142324, U1: 25.9, U2: 0.00528727, U3: -0.000211123, U4: 2.87562e-07
Time: 2.853, Fy: 0.151395, U1: 25.8015, U2: 0.00567875, U3: -0.000185772, U4: -8.386e-07
Time: 2.9, Fy: 0.160942, U1: 25.7383, U2: 0.00622472, U3: -0.000167131, U4: -2.98543e-06
Time: 2.947, Fy: 0.197096, U1: 25.6107, U2: 0.00961483, U3: -0.000138036, U4: -6.82199e-06
Time: 2.994, Fy: 0.198781, U1: 25.5177, U2: 0.0147725, U3: -0.000117244, U4: -9.3677e-06
Time: 3.04, Fy: 0.195854, U1: 25.5102, U2: 0.0189357, U3: -9.38283e-05, U4: -1.21711e-05
Time: 3.084, Fy: 0.190478, U1: 25.5366, U2: 0.0197143, U3: -8.85275e-05, U4: -1.27645e-05
Time: 3.131, Fy: 0.228713, U1: 25.6874, U2: 0.0221756, U3: -4.14623e-05, U4: -1.26471e-05
Time: 3.18, Fy: 0.15512, U1: 25.8223, U2: 0.0207361, U3: 1.37072e-05, U4: -1.13403e-05
Time: 3.226, Fy: 0.219628, U1: 25.7809, U2: 0.0195172, U3: 1.30755e-05, U4: -9.88172e-06
