Time: 564.106, x: 2.40062e-05, y: -8.16577, z: 0.509462
Time: 564.177, x: 2.41936e-05, y: -8.16547, z: 0.509452
Time: 564.243, x: 2.46871e-05, y: -8.16527, z: 0.509456
Time: 564.309, x: 2.4896e-05, y: -8.16572, z: 0.509455
Time: 564.375, x: 2.5219e-05, y: -8.16523, z: 0.509452
Time: 564.438, x: 2.55199e-05, y: -8.16563, z: 0.509449
Time: 564.499, x: 2.58831e-05, y: -8.16521, z: 0.509457
Time: 564.562, x: 2.59903e-05, y: -8.1647, z: 0.509465
Time: 564.624, x: 2.61261e-05, y: -8.16409, z: 0.509453
Time: 564.687, x: 2.63589e-05, y: -8.1635, z: 0.50945
Time: 564.75, x: 2.6615e-05, y: -8.16364, z: 0.50946
Time: 564.811, x: 2.69952e-05, y: -8.16366, z: 0.509454
Time: 564.875, x: 2.7353e-05, y: -8.16354, z: 0.50945
Time: 564.932, x: 2.73454e-05, y: -8.16345, z: 0.509463
Time: 0.053, x: 6.45245e-07, y: -8.16243, z: 0.509454
Time: 0.096, x: 5.96272e-07, y: -8.16213, z: 0.509448
Time: 0.134, x: 6.9306e-07, y: -8.16209, z: 0.509453
Time: 0.176, x: 8.5642e-07, y: -8.16215, z: 0.50945
Time: 0.217, x: 9.2592e-07, y: -8.16226, z: 0.509452
Time: 0.258, x: 1.14222e-06, y: -8.1623, z: 0.509452
Time: 0.304, x: 1.3126e-06, y: -8.16229, z: 0.509451
Time: 0.342, x: 1.47597e-06, y: -8.16224, z: 0.509455
Time: 0.382, x: 1.40791e-06, y: -8.1622, z: 0.509551
Time: 0.422, x: 1.21155e-06, y: -8.16213, z: 0.511286
Time: 0.465, x: 9.58618e-07, y: -8.16197, z: 0.51532
Time: 0.509, x: 3.77749e-07, y: -8.1615, z: 0.525764
Time: 0.549, x: -2.29453e-07, y: -8.16101, z: 0.535531
Time: 0.592, x: -1.13027e-06, y: -8.16024, z: 0.548655
Time: 0.636, x: -2.25945e-06, y: -8.15916, z: 0.564015
Time: 0.676, x: -3.61939e-06, y: -8.15766, z: 0.581904
Time: 0.719, x: -5.93566e-06, y: -8.1545, z: 0.612505
Time: 0.762, x: -7.84955e-06, y: -8.15118, z: 0.638701
Time: 0.798, x: -9.55177e-06, y: -8.14764, z: 0.662868
Time: 0.839, x: -1.1447e-05, y: -8.14295, z: 0.690191
Time: 0.881, x: -1.31322e-05, y: -8.13807, z: 0.714361
Time: 0.923, x: -1.4946e-05, y: -8.13195, z: 0.739997
Time: 0.966, x: -1.66008e-05, y: -8.12539, z: 0.763086
Time: 1.007, x: -1.81348e-05, y: -8.11824, z: 0.784337
Time: 1.051, x: -2.02006e-05, y: -8.10672, z: 0.812916
Time: 1.098, x: -2.14787e-05, y: -8.09826, z: 0.830699
Time: 1.145, x: -2.2843e-05, y: -8.08769, z: 0.84991
Time: 1.188, x: -2.44104e-05, y: -8.0728, z: 0.872581
Time: 1.234, x: -2.53041e-05, y: -8.06233, z: 0.886306
Time: 1.28, x: -2.64547e-05, y: -8.04504, z: 0.906828
