Time: 0.258, x: -7.16778e-05, y: -8.4998, z: 0.171962, phi: 2.27665e-06, theta: 1.57369e-05, psi: 0.000226252
Time: 0.309, x: -8.63041e-05, y: -8.49979, z: 0.171958, phi: 7.56187e-06, theta: 1.65956e-05, psi: 0.000256154
Time: 0.361, x: -0.000102865, y: -8.49972, z: 0.171957, phi: -2.06331e-06, theta: 1.1221e-05, psi: 0.000258117
Time: 0.41, x: -8.58794e-05, y: -8.49968, z: 0.172606, phi: -0.000102278, theta: 0.00011079, psi: 0.000277296
Time: 0.467, x: -4.20194e-05, y: -8.49943, z: 0.178844, phi: -0.00127544, theta: 0.000348725, psi: 0.000337441
Time: 0.523, x: 2.19174e-05, y: -8.49894, z: 0.189698, phi: -0.00335752, theta: 0.000547811, psi: 0.000407208
Time: 0.575, x: 0.000132555, y: -8.49806, z: 0.205926, phi: -0.00636278, theta: 0.000639482, psi: 0.000459397
Time: 0.63, x: 0.000313574, y: -8.49643, z: 0.229544, phi: -0.0101071, theta: 0.0005955, psi: 0.00048864
Time: 0.683, x: 0.000460105, y: -8.49484, z: 0.247887, phi: -0.0123931, theta: 0.000502693, psi: 0.000492203
Time: 0.738, x: 0.000716167, y: -8.49138, z: 0.280285, phi: -0.0152991, theta: 0.000311295, psi: 0.000478367
Time: 0.788, x: 0.000986389, y: -8.48656, z: 0.31607, phi: -0.0174735, theta: 0.000118279, psi: 0.0004478
Time: 0.834, x: 0.00118532, y: -8.48214, z: 0.343384, phi: -0.0186491, theta: -7.84514e-06, psi: 0.000417729
Time: 0.886, x: 0.00146739, y: -8.47444, z: 0.381969, phi: -0.0197494, theta: -0.000153062, psi: 0.000367377
Time: 0.937, x: 0.00164718, y: -8.46849, z: 0.406139, phi: -0.0200868, theta: -0.000225461, psi: 0.000331508
Time: 0.985, x: 0.00190039, y: -8.45827, z: 0.439713, phi: -0.0200887, theta: -0.000305278, psi: 0.00027702
Time: 1.029, x: 0.00205543, y: -8.45066, z: 0.460154, phi: -0.019791, theta: -0.000344595, psi: 0.000242313
Time: 1.081, x: 0.00227001, y: -8.4381, z: 0.488515, phi: -0.018751, theta: -0.000392499, psi: 0.000193537
Time: 1.133, x: 0.00240342, y: -8.42872, z: 0.506335, phi: -0.0176358, theta: -0.000421657, psi: 0.000163122
Time: 1.181, x: 0.00257714, y: -8.41386, z: 0.530064, phi: -0.0155273, theta: -0.000461559, psi: 0.00012336
Time: 1.231, x: 0.00272784, y: -8.39722, z: 0.552049, phi: -0.0129528, theta: -0.000497987, psi: 8.83081e-05
Time: 1.281, x: 0.00281126, y: -8.38529, z: 0.566175, phi: -0.0110709, theta: -0.000518645, psi: 6.7934e-05
Time: 1.33, x: 0.00289915, y: -8.36818, z: 0.585247, phi: -0.00839713, theta: -0.000539574, psi: 4.39832e-05
Time: 1.379, x: 0.00294147, y: -8.35596, z: 0.597842, phi: -0.00655553, theta: -0.000547865, psi: 2.99292e-05
Time: 1.431, x: 0.00297618, y: -8.33709, z: 0.61581, phi: -0.00387601, theta: -0.000550037, psi: 1.23023e-05
Time: 1.479, x: 0.00297516, y: -8.31809, z: 0.633715, phi: -0.00135036, theta: -0.000540146, psi: -1.35582e-06
Time: 1.529, x: 0.00295556, y: -8.30538, z: 0.645798, phi: 0.0002703, theta: -0.000527528, psi: -8.55036e-06
Time: 1.579, x: 0.00289321, y: -8.28496, z: 0.666469, phi: 0.00273356, theta: -0.000498808, psi: -1.74341e-05
Time: 1.628, x: 0.0028333, y: -8.27179, z: 0.681062, phi: 0.00425478, theta: -0.00047524, psi: -2.16615e-05
Time: 1.677, x: 0.0027139, y: -8.25175, z: 0.705316, phi: 0.00642999, theta: -0.000432719, psi: -2.61984e-05
Time: 1.729, x: 0.00256403, y: -8.23195, z: 0.731326, phi: 0.00841355, theta: -0.000383364, psi: -2.88387e-05
Time: 1.781, x: 0.00245415, y: -8.2195, z: 0.748763, phi: 0.00955715, theta: -0.000348659, psi: -2.96944e-05
Time: 1.828, x: 0.00226953, y: -8.201, z: 0.77598, phi: 0.011058, theta: -0.000292412, psi: -3.00766e-05
Time: 1.881, x: 0.00205582, y: -8.18204, z: 0.80404, phi: 0.0123416, theta: -0.00023029, psi: -2.96134e-05
