Time: 0.255, vx: -0.000477928, vy: 0.000256616, vz: -0.00390776, vphi: 0.00871482, vtheta: 0.00150364, vpsi: 0.00214334
Time: 0.256, vx: -0.000410358, vy: -0.000129885, vz: 0.0038723, vphi: -0.00864959, vtheta: -0.00133409, vpsi: 0.00212639
Time: 0.257, vx: -0.000413027, vy: -0.000128065, vz: -0.00591926, vphi: -0.00883234, vtheta: -0.000491928, vpsi: 0.00214033
Time: 0.258, vx: -0.00047429, vy: 0.000337701, vz: 0.00594419, vphi: 0.00883473, vtheta: 0.000455994, vpsi: 0.00204958
Time: 0.309, vx: -0.000451948, vy: 0.00099948, vz: -0.0037806, vphi: 0.00846675, vtheta: 0.0003897, vpsi: 0.00158819
Time: 0.361, vx: 0.000128716, vy: -0.00117844, vz: -0.00115398, vphi: -0.0382152, vtheta: -0.0021915, vpsi: -0.00593336
Time: 0.41, vx: 0.000565497, vy: 0.00191138, vz: 0.0457019, vphi: -0.0164068, vtheta: 0.00738589, vpsi: 0.00190393
Time: 0.467, vx: 0.000868838, vy: 0.00635931, vz: 0.150678, vphi: -0.0576864, vtheta: 0.00799427, vpsi: 0.00242734
Time: 0.523, vx: 0.00152037, vy: 0.0116827, vz: 0.242317, vphi: -0.0926929, vtheta: 0.00546416, vpsi: 0.00229635
Time: 0.575, vx: 0.00243933, vy: 0.0199806, vz: 0.335592, vphi: -0.118557, vtheta: 0.000933009, vpsi: 0.00151741
Time: 0.63, vx: 0.00346422, vy: 0.0344091, vz: 0.437095, vphi: -0.122423, vtheta: -0.00371793, vpsi: 0.000589508
Time: 0.683, vx: 0.00401582, vy: 0.0470293, vz: 0.501891, vphi: -0.1101, vtheta: -0.00567159, vpsi: 3.81857e-05
Time: 0.738, vx: 0.00459107, vy: 0.0711549, vz: 0.591812, vphi: -0.0874167, vtheta: -0.00686969, vpsi: -0.000658845
Time: 0.788, vx: 0.00483668, vy: 0.0978183, vz: 0.65741, vphi: -0.0655299, vtheta: -0.00658169, vpsi: -0.00119821
Time: 0.834, vx: 0.00484505, vy: 0.116916, vz: 0.665876, vphi: -0.0495105, vtheta: -0.00572857, vpsi: -0.00147465
Time: 0.886, vx: 0.00469336, vy: 0.143358, vz: 0.63536, vphi: -0.0251712, vtheta: -0.00422052, vpsi: -0.00171956
Time: 0.937, vx: 0.00452375, vy: 0.161533, vz: 0.603865, vphi: -0.0101339, vtheta: -0.0033421, vpsi: -0.00180297
Time: 0.985, vx: 0.00420235, vy: 0.190898, vz: 0.554546, vphi: 0.00857641, vtheta: -0.00234424, vpsi: -0.0018082
Time: 1.029, vx: 0.00396167, vy: 0.208308, vz: 0.522171, vphi: 0.0236089, vtheta: -0.00191013, vpsi: -0.00174298
Time: 1.081, vx: 0.00356854, vy: 0.232032, vz: 0.473854, vphi: 0.0489787, vtheta: -0.00157392, vpsi: -0.00157687
Time: 1.133, vx: 0.00327769, vy: 0.248675, vz: 0.440843, vphi: 0.0644284, vtheta: -0.00147397, vpsi: -0.00144269
Time: 1.181, vx: 0.00281875, vy: 0.271546, vz: 0.392569, vphi: 0.0814489, vtheta: -0.00133983, vpsi: -0.00123668
Time: 1.231, vx: 0.00228825, vy: 0.291946, vz: 0.35728, vphi: 0.0918616, vtheta: -0.00113575, vpsi: -0.00102599
Time: 1.281, vx: 0.00188762, vy: 0.303809, vz: 0.351707, vphi: 0.0958983, vtheta: -0.000934584, vpsi: -0.000895977
Time: 1.33, vx: 0.00131732, vy: 0.317448, vz: 0.339269, vphi: 0.0974927, vtheta: -0.000579795, vpsi: -0.000735546
Time: 1.379, vx: 0.000920819, vy: 0.325632, vz: 0.322474, vphi: 0.0959409, vtheta: -0.000298479, vpsi: -0.000636607
Time: 1.431, vx: 0.000297848, vy: 0.335726, vz: 0.316946, vphi: 0.0918867, vtheta: 0.000137977, vpsi: -0.000502112
Time: 1.479, vx: -0.000319898, vy: 0.341969, vz: 0.321153, vphi: 0.0890145, vtheta: 0.000555372, vpsi: -0.000379825
Time: 1.529, vx: -0.000729015, vy: 0.344842, vz: 0.33409, vphi: 0.0859322, vtheta: 0.000793961, vpsi: -0.000309182
Time: 1.579, vx: -0.00137141, vy: 0.346798, vz: 0.36973, vphi: 0.0816324, vtheta: 0.0011371, vpsi: -0.000208887
Time: 1.628, vx: -0.00176858, vy: 0.346511, vz: 0.398142, vphi: 0.0781829, vtheta: 0.00133026, vpsi: -0.000152855
Time: 1.677, vx: -0.00232677, vy: 0.343829, vz: 0.433911, vphi: 0.0719147, vtheta: 0.00158485, vpsi: -8.10852e-05
Time: 1.729, vx: -0.0028223, vy: 0.338696, vz: 0.462213, vphi: 0.0648027, vtheta: 0.00180907, vpsi: -2.24821e-05
Time: 1.781, vx: -0.00310512, vy: 0.334265, vz: 0.479731, vphi: 0.0586015, vtheta: 0.00193116, vpsi: 6.24579e-06
Time: 1.828, vx: -0.00346418, vy: 0.32637, vz: 0.481905, vphi: 0.0490742, vtheta: 0.00206169, vpsi: 3.88319e-05
Time: 1.881, vx: -0.00376423, vy: 0.316439, vz: 0.471231, vphi: 0.0375714, vtheta: 0.00213777, vpsi: 6.2916e-05
Time: 1.93, vx: -0.00391761, vy: 0.310006, vz: 0.459438, vphi: 0.0308988, vtheta: 0.00218335, vpsi: 7.51124e-05
Time: 1.978, vx: -0.00408199, vy: 0.299932, vz: 0.426068, vphi: 0.023279, vtheta: 0.00218538, vpsi: 8.66845e-05
Time: 2.026, vx: -0.00415524, vy: 0.292735, vz: 0.397108, vphi: 0.0202161, vtheta: 0.00216297, vpsi: 9.19771e-05
Time: 2.072, vx: -0.00421209, vy: 0.280835, vz: 0.363885, vphi: 0.0156312, vtheta: 0.002113, vpsi: 9.69158e-05
