Time: 0.222, U1: 21.7442, U2: -0.0456759, U3: 1.66451e-07, U4: 6.85062e-10
Time: 0.26, U1: 22, U2: -0.0499991, U3: 3.5945e-07, U4: -1.02891e-08
Time: 0.302, U1: 22, U2: -0.0499987, U3: 2.68674e-07, U4: 3.98736e-08
Time: 0.346, U1: 22, U2: -0.0499981, U3: 8.75322e-08, U4: 4.58133e-08
Time: 0.388, U1: 22, U2: -0.0499972, U3: -7.06851e-08, U4: 3.84234e-08
Time: 0.433, U1: 22, U2: -0.049995, U3: -1.75315e-07, U4: 2.42269e-08
Time: 0.476, U1: 22, U2: -0.0499805, U3: -2.17631e-07, U4: 9.85864e-09
Time: 0.518, U1: 22, U2: -0.0287222, U3: -2.198e-07, U4: -4.44811e-09
Time: 0.562, U1: 22, U2: 0.0246661, U3: -1.68595e-07, U4: -2.36001e-08
Time: 0.593, U1: 22, U2: 0.0305366, U3: -1.43298e-07, U4: -2.97563e-08
Time: 0.642, U1: 22, U2: 0.0499962, U3: -7.60539e-08, U4: -3.07591e-08
Time: 0.687, U1: 22, U2: 0.0499975, U3: -4.18153e-08, U4: -2.61934e-08
Time: 0.731, U1: 22, U2: 0.0499972, U3: -8.5754e-09, U4: -1.33687e-08
Time: 0.776, U1: 22, U2: 0.0499966, U3: -4.19291e-09, U4: -3.08502e-09
Time: 0.822, U1: 22, U2: 0.0499964, U3: -8.53915e-09, U4: 6.43225e-09
Time: 0.867, U1: 22, U2: 0.0499962, U3: -2.87454e-08, U4: 1.68657e-08
Time: 0.911, U1: 22, U2: 0.0499959, U3: -4.25366e-08, U4: 2.03855e-08
Time: 0.955, U1: 22, U2: 0.0499958, U3: -4.95982e-08, U4: 2.03256e-08
Time: 1, U1: 21.9999, U2: 0.0499946, U3: -4.48957e-08, U4: 1.42548e-08
Time: 1.045, U1: 21.9999, U2: 0.0499948, U3: -3.62525e-08, U4: 8.53766e-09
Time: 1.089, U1: 21.9999, U2: 0.0499925, U3: -2.08361e-08, U4: 3.95381e-10
Time: 1.132, U1: 21.9999, U2: 0.0499882, U3: -1.21546e-08, U4: -3.07221e-09
Time: 1.177, U1: 21.9998, U2: 0.0462909, U3: 3.13372e-09, U4: -4.53213e-09
Time: 1.223, U1: 21.9998, U2: 0.0272373, U3: 1.46921e-08, U4: -3.92536e-09
Time: 1.266, U1: 21.9992, U2: 0.00374526, U3: 1.52807e-08, U4: -1.18948e-09
Time: 1.308, U1: 21.9986, U2: -0.0116959, U3: 1.45646e-08, U4: 6.48378e-10
Time: 1.35, U1: 21.7288, U2: -0.0219609, U3: 1.58781e-08, U4: 1.83404e-09
Time: 1.392, U1: 20.8691, U2: -0.0262664, U3: 1.83824e-08, U4: 2.34609e-09
Time: 1.433, U1: 20.6857, U2: -0.0295309, U3: 2.346e-08, U4: 2.55949e-09
Time: 1.475, U1: 18.9678, U2: -0.0228167, U3: 2.76817e-08, U4: 2.41097e-09
Time: 1.515, U1: 19.7491, U2: -0.023757, U3: 2.98271e-08, U4: 2.48119e-09
Time: 1.555, U1: 20.146, U2: -0.0276216, U3: 3.29987e-08, U4: 2.26513e-09
Time: 1.595, U1: 19.0826, U2: -0.0232551, U3: 3.21409e-08, U4: 1.91283e-09
Time: 1.636, U1: 18.0278, U2: -0.0182225, U3: 3.19728e-08, U4: 1.50359e-09
Time: 1.673, U1: 21.9259, U2: -0.0419266, U3: 3.5605e-08, U4: 1.47859e-09
Time: 1.715, U1: 21.1684, U2: -0.0488094, U3: 4.09746e-08, U4: 6.45206e-10
Time: 1.754, U1: 20.3968, U2: -0.0382778, U3: 3.58156e-08, U4: 9.06203e-10
Time: 1.795, U1: 19.9092, U2: -0.0345422, U3: 3.59191e-08, U4: 1.73011e-09
Time: 1.834, U1: 21.9985, U2: -0.0477097, U3: 3.96137e-08, U4: 2.61102e-09
Time: 1.876, U1: 20.9887, U2: -0.0356614, U3: 3.57509e-08, U4: 2.76589e-09
Time: 1.915, U1: 21.8791, U2: -0.0319449, U3: 3.46132e-08, U4: 3.31283e-09
Time: 1.955, U1: 21.7467, U2: -0.0244797, U3: 3.20486e-08, U4: 3.49886e-09
Time: 1.998, U1: 20.882, U2: -0.019179, U3: 2.92223e-08, U4: 2.95489e-09
Time: 2.038, U1: 21.4921, U2: -0.0190975, U3: 3.03061e-08, U4: 2.38684e-09
Time: 2.079, U1: 19.8347, U2: -0.00699484, U3: 2.50001e-08, U4: 1.33145e-09
Time: 2.119, U1: 20.4925, U2: -0.010469, U3: 2.53485e-08, U4: 3.17344e-10
Time: 2.158, U1: 20.5594, U2: -0.010216, U3: 2.43534e-08, U4: -7.14577e-10
Time: 2.197, U1: 19.3251, U2: -0.0013229, U3: 1.85219e-08, U4: -1.75732e-09
Time: 2.236, U1: 19.3011, U2: -0.00134875, U3: 1.42303e-08, U4: -2.43122e-09
Time: 2.273, U1: 19.9604, U2: -0.00372322, U3: 1.44656e-08, U4: -2.65311e-09
Time: 2.311, U1: 20.0398, U2: -0.00376935, U3: 1.10241e-08, U4: -2.58659e-09
Time: 2.348, U1: 20.5753, U2: -0.00834223, U3: 1.15448e-08, U4: -2.20405e-09
Time: 2.387, U1: 19.042, U2: -0.00426627, U3: 6.34242e-09, U4: -1.59987e-09
Time: 2.425, U1: 18.0026, U2: -0.00540871, U3: 6.60133e-09, U4: -9.04748e-10
Time: 2.463, U1: 18.0005, U2: -0.000810575, U3: 4.21584e-09, U4: -3.08702e-10
Time: 2.501, U1: 18.0003, U2: 0.00508196, U3: 9.10379e-10, U4: 1.1902e-10
Time: 2.539, U1: 18, U2: 0.0173485, U3: -5.77843e-09, U4: 2.85479e-10
Time: 2.576, U1: 18.0001, U2: 0.0170335, U3: -6.20493e-09, U4: 1.78043e-10
Time: 2.612, U1: 18.0001, U2: 0.0167528, U3: -5.91401e-09, U4: -2.71523e-10
Time: 2.648, U1: 18.0001, U2: 0.0122659, U3: -5.43664e-09, U4: -7.07767e-10
Time: 2.684, U1: 18.0001, U2: 0.008981, U3: -4.49115e-09, U4: -8.76502e-10
Time: 2.72, U1: 18.0001, U2: 0.00886781, U3: -5.97394e-09, U4: -1.05334e-09
Time: 2.756, U1: 18.0001, U2: 0.00816152, U3: -7.5191e-09, U4: -1.00711e-09
Time: 2.793, U1: 18, U2: 0.0163302, U3: -1.44124e-08, U4: -8.1745e-10
Time: 2.83, U1: 18, U2: 0.0191908, U3: -1.68265e-08, U4: -5.86646e-10
Time: 2.865, U1: 18.0003, U2: 0.0185993, U3: -1.52277e-08, U4: -4.32496e-10
Time: 2.904, U1: 18.0006, U2: 0.0188088, U3: -1.85522e-08, U4: -2.33272e-10
Time: 2.942, U1: 18, U2: 0.0152875, U3: -1.61173e-08, U4: -1.48028e-10
Time: 2.976, U1: 18.0105, U2: 0.018186, U3: -1.42536e-08, U4: -1.7021e-10
Time: 3.013, U1: 19.0426, U2: 0.0163463, U3: -1.49441e-08, U4: -7.53056e-11
Time: 3.049, U1: 20.1651, U2: 0.0126386, U3: -1.27847e-08, U4: -5.49045e-12
