Time: 586.427, x: 1.33808e-06, y: -8.05055, z: 0.599477
Time: 586.484, x: 1.33288e-06, y: -8.05052, z: 0.599523
Time: 586.539, x: 1.32776e-06, y: -8.05055, z: 0.599477
Time: 586.596, x: 1.32265e-06, y: -8.05051, z: 0.599527
Time: 586.655, x: 1.31738e-06, y: -8.05051, z: 0.599527
Time: 586.712, x: 1.31234e-06, y: -8.05051, z: 0.599531
Time: 586.76, x: 1.30812e-06, y: -8.05051, z: 0.599531
Time: 586.819, x: 1.30297e-06, y: -8.05051, z: 0.599531
Time: 586.878, x: 1.29786e-06, y: -8.05052, z: 0.599523
Time: 586.933, x: 1.29314e-06, y: -8.05051, z: 0.599532
Time: 586.993, x: 1.28802e-06, y: -8.05052, z: 0.599523
Time: 587.048, x: 1.28336e-06, y: -8.05052, z: 0.599523
Time: 587.104, x: 1.27866e-06, y: -8.05052, z: 0.599523
Time: 587.159, x: 1.27713e-06, y: -8.05054, z: 0.599439
Time: 587.241, x: 1.2673e-06, y: -8.05047, z: 0.599479
Time: 587.317, x: 1.26107e-06, y: -8.05055, z: 0.599477
Time: 587.391, x: 1.25491e-06, y: -8.05044, z: 0.599505
Time: 587.467, x: 1.24896e-06, y: -8.05051, z: 0.599478
Time: 587.542, x: 1.59864e-06, y: -8.05065, z: 0.599328
Time: 587.617, x: 1.23711e-06, y: -8.0505, z: 0.599478
Time: 587.687, x: 1.22723e-06, y: -8.05054, z: 0.599463
Time: 587.759, x: 1.5713e-06, y: -8.05065, z: 0.59933
Time: 587.833, x: 1.22042e-06, y: -8.05046, z: 0.59952
Time: 587.899, x: 1.21442e-06, y: -8.05052, z: 0.599405
Time: 587.968, x: 1.18856e-06, y: -8.05057, z: 0.599457
Time: 588.034, x: 1.20523e-06, y: -8.05052, z: 0.599411
Time: 588.101, x: 1.18275e-06, y: -8.05055, z: 0.599459
Time: 588.161, x: 1.00812e-06, y: -8.05052, z: 0.599474
Time: 588.22, x: 1.1916e-06, y: -8.05056, z: 0.599477
Time: 588.276, x: 1.18755e-06, y: -8.05047, z: 0.599525
Time: 0.01, x: 8.38144e-07, y: -8.05051, z: 0.599525
Time: 0.053, x: 8.39697e-07, y: -8.05051, z: 0.621194
Time: 0.096, x: 8.41251e-07, y: -8.05051, z: 0.601976
Time: 0.139, x: 8.4281e-07, y: -8.05052, z: 0.599523
Time: 0.181, x: 8.44339e-07, y: -8.05052, z: 0.599523
Time: 0.223, x: 8.45874e-07, y: -8.05051, z: 0.599525
Time: 0.264, x: 8.47377e-07, y: -8.05052, z: 0.599525
Time: 0.304, x: 8.48848e-07, y: -8.05052, z: 0.599612
Time: 0.346, x: 8.50394e-07, y: -8.05053, z: 0.601077
Time: 0.386, x: 8.51879e-07, y: -8.05052, z: 0.603096
Time: 0.429, x: 8.53496e-07, y: -8.05046, z: 0.605883
Time: 0.47, x: 8.55077e-07, y: -8.05027, z: 0.609705
Time: 0.511, x: 8.56789e-07, y: -8.04966, z: 0.616838
Time: 0.552, x: 8.58548e-07, y: -8.04888, z: 0.622699
Time: 0.586, x: 8.60147e-07, y: -8.04773, z: 0.62922
Time: 0.629, x: 8.62234e-07, y: -8.04602, z: 0.636758
Time: 0.673, x: 8.6453e-07, y: -8.04364, z: 0.645139
Time: 0.714, x: 8.67377e-07, y: -8.03861, z: 0.659139
Time: 0.758, x: 8.70203e-07, y: -8.03405, z: 0.669586
