Time: 0.222, x: -1.10576e-10, y: -8.5, z: 0.15, phi: 1.89154e-11, theta: -5.45478e-12, psi: -5.66016e-10
Time: 0.26, x: -1.26032e-10, y: -8.5, z: 0.15, phi: -1.99768e-11, theta: -4.89044e-12, psi: -5.56436e-10
Time: 0.302, x: -2.11482e-10, y: -8.5, z: 0.150283, phi: -0.000198558, theta: 1.00848e-09, psi: -1.23379e-09
Time: 0.346, x: -3.58352e-10, y: -8.50001, z: 0.151598, phi: -0.00108517, theta: 6.22539e-09, psi: -2.21867e-09
Time: 0.388, x: -3.72706e-10, y: -8.49999, z: 0.153981, phi: -0.00263027, theta: 1.67189e-08, psi: -3.09757e-09
Time: 0.433, x: 7.33457e-11, y: -8.49991, z: 0.15709, phi: -0.00461709, theta: 2.92659e-08, psi: -3.54616e-09
Time: 0.476, x: 1.38614e-09, y: -8.49969, z: 0.161103, phi: -0.00716331, theta: 4.26015e-08, psi: -3.63019e-09
Time: 0.518, x: 4.00186e-09, y: -8.49927, z: 0.166019, phi: -0.0102689, theta: 5.49545e-08, psi: -3.38973e-09
Time: 0.562, x: 1.12143e-08, y: -8.49805, z: 0.175083, phi: -0.0159757, theta: 6.91112e-08, psi: -2.59191e-09
Time: 0.593, x: 1.46481e-08, y: -8.49743, z: 0.178554, phi: -0.0181515, theta: 7.23982e-08, psi: -2.24632e-09
Time: 0.642, x: 2.83823e-08, y: -8.49468, z: 0.190308, phi: -0.0249414, theta: 7.80942e-08, psi: -1.22272e-09
Time: 0.687, x: 4.05166e-08, y: -8.49193, z: 0.199252, phi: -0.0291798, theta: 7.9025e-08, psi: -7.28342e-10
Time: 0.731, x: 6.32358e-08, y: -8.48611, z: 0.214314, phi: -0.0348082, theta: 7.71405e-08, psi: -3.98123e-10
Time: 0.776, x: 8.08142e-08, y: -8.48108, z: 0.225138, phi: -0.0378106, theta: 7.4717e-08, psi: -4.8052e-10
Time: 0.822, x: 1.01096e-07, y: -8.47478, z: 0.237104, phi: -0.0403421, theta: 7.17273e-08, psi: -7.79609e-10
Time: 0.867, x: 1.35542e-07, y: -8.46302, z: 0.256654, phi: -0.0430911, theta: 6.69789e-08, psi: -1.47509e-09
Time: 0.911, x: 1.61049e-07, y: -8.45355, z: 0.270748, phi: -0.0442249, theta: 6.372e-08, psi: -2.00363e-09
Time: 0.955, x: 1.88478e-07, y: -8.44274, z: 0.285687, phi: -0.0447999, theta: 6.03148e-08, psi: -2.50078e-09
Time: 1, x: 2.32196e-07, y: -8.42434, z: 0.309239, phi: -0.0446285, theta: 5.45788e-08, psi: -3.01653e-09
Time: 1.045, x: 2.6308e-07, y: -8.41056, z: 0.325806, phi: -0.0438494, theta: 5.01162e-08, psi: -3.1711e-09
Time: 1.089, x: 3.14347e-07, y: -8.38644, z: 0.35339, phi: -0.0415618, theta: 4.18933e-08, psi: -3.12413e-09
Time: 1.132, x: 3.49584e-07, y: -8.36904, z: 0.372537, phi: -0.0393568, theta: 3.57737e-08, psi: -2.95931e-09
Time: 1.177, x: 3.91733e-07, y: -8.34739, z: 0.395779, phi: -0.0361051, theta: 2.81456e-08, psi: -2.71151e-09
Time: 1.223, x: 4.29068e-07, y: -8.32751, z: 0.416785, phi: -0.0326932, theta: 2.12674e-08, psi: -2.50892e-09
Time: 1.266, x: 4.86213e-07, y: -8.29586, z: 0.44993, phi: -0.0265445, theta: 1.07168e-08, psi: -2.27947e-09
Time: 1.308, x: 5.22725e-07, y: -8.27491, z: 0.471886, phi: -0.022116, theta: 4.12237e-09, psi: -2.19185e-09
Time: 1.35, x: 5.61381e-07, y: -8.25214, z: 0.495928, phi: -0.0171945, theta: -2.64867e-09, psi: -2.13914e-09
Time: 1.392, x: 5.98941e-07, y: -8.22947, z: 0.520199, phi: -0.0123685, theta: -9.04589e-09, psi: -2.10773e-09
Time: 1.433, x: 6.5424e-07, y: -8.19517, z: 0.557782, phi: -0.00544098, theta: -1.82024e-08, psi: -2.0709e-09
Time: 1.475, x: 6.928e-07, y: -8.17062, z: 0.585175, phi: -0.00084294, theta: -2.44138e-08, psi: -2.04196e-09
