Time: 0.25, Fy: 0.134392, U1: 25.6621, U2: -0.00419466, U3: 0.0124223, U4: -0.00078106
Time: 0.298, Fy: 0.27433, U1: 31.9987, U2: -0.0201325, U3: 0.0499953, U4: -0.00925284
Time: 0.352, Fy: 0.292155, U1: 31.9987, U2: -0.0343068, U3: 0.0499892, U4: -0.00468735
Time: 0.404, Fy: 0.279157, U1: 31.9978, U2: -0.0100861, U3: 0.0496516, U4: -0.00281049
Time: 0.457, Fy: 0.26548, U1: 31.9881, U2: 0.0205003, U3: 0.0229699, U4: -0.000945297
Time: 0.508, Fy: 0.293727, U1: 31.9168, U2: 0.0428966, U3: -0.00507472, U4: 0.000342415
Time: 0.56, Fy: 0.237064, U1: 30.2466, U2: 0.0494935, U3: -0.0281826, U4: 0.00149524
Time: 0.61, Fy: 0.302903, U1: 28.3994, U2: 0.0495147, U3: -0.0409002, U4: 0.00232923
Time: 0.659, Fy: 0.211134, U1: 27.0025, U2: 0.0470678, U3: -0.0434623, U4: 0.00277965
Time: 0.708, Fy: 0.205455, U1: 25.293, U2: 0.0391996, U3: -0.0405502, U4: 0.00319469
Time: 0.754, Fy: 0.202346, U1: 25.0786, U2: 0.0325615, U3: -0.0356111, U4: 0.00329891
Time: 0.802, Fy: 0.200133, U1: 25.0309, U2: 0.0186843, U3: -0.0284147, U4: 0.00335164
Time: 0.85, Fy: 0.200626, U1: 25.0572, U2: 0.0119743, U3: -0.023475, U4: 0.00326249
Time: 0.897, Fy: 0.202335, U1: 25.1049, U2: 0.00854097, U3: -0.0184913, U4: 0.00295398
Time: 0.94, Fy: 0.174928, U1: 25.9752, U2: 0.00969635, U3: -0.015986, U4: 0.00248437
Time: 0.99, Fy: 0.158063, U1: 25.9423, U2: 0.00868313, U3: -0.0116108, U4: 0.00211364
Time: 1.039, Fy: 0.208673, U1: 27.6334, U2: 0.00883299, U3: -0.00911934, U4: 0.00168328
Time: 1.087, Fy: 0.165391, U1: 28.1458, U2: 0.00996065, U3: -0.0082457, U4: 0.00134123
Time: 1.133, Fy: 0.199154, U1: 27.8907, U2: 0.0129753, U3: -0.00933348, U4: 0.00112183
Time: 1.184, Fy: 0.233397, U1: 26.6069, U2: 0.012628, U3: -0.00679389, U4: 0.000904841
Time: 1.232, Fy: 0.159956, U1: 25.958, U2: 0.0142127, U3: -0.00713, U4: 0.000752992
Time: 1.28, Fy: 0.17822, U1: 25.4964, U2: 0.0151719, U3: -0.00575326, U4: 0.000631366
Time: 1.327, Fy: 0.240114, U1: 29.6307, U2: 0.0049484, U3: 0.00208587, U4: 0.000571694
Time: 1.377, Fy: 0.259328, U1: 30.0097, U2: -0.00214154, U3: 0.00928144, U4: 0.000523806
Time: 1.426, Fy: 0.271243, U1: 29.8829, U2: -0.00220969, U3: 0.0113595, U4: 0.000429674
Time: 1.475, Fy: 0.285641, U1: 28.9048, U2: 0.00226608, U3: 0.0114434, U4: 0.000269277
Time: 1.525, Fy: 0.235819, U1: 28.4381, U2: 0.00479117, U3: 0.014661, U4: 0.000104479
Time: 1.574, Fy: 0.197572, U1: 27.5337, U2: 0.011321, U3: 0.0127328, U4: -2.34813e-05
Time: 1.622, Fy: 0.281602, U1: 27.1938, U2: 0.0134863, U3: 0.0117193, U4: -0.000108578
Time: 1.671, Fy: 0.148176, U1: 26.2915, U2: 0.0139018, U3: 0.00935984, U4: -0.00020786
Time: 1.719, Fy: 0.228977, U1: 25.5456, U2: 0.0162264, U3: 0.00517703, U4: -0.000286122
Time: 1.765, Fy: 0.231834, U1: 25.2549, U2: 0.0158621, U3: 0.00240478, U4: -0.000345497
Time: 1.813, Fy: 0.235012, U1: 25.0843, U2: 0.0138188, U3: 0.00100411, U4: -0.000375329
Time: 1.861, Fy: 0.281966, U1: 27.5006, U2: -0.0024909, U3: 0.0197938, U4: -0.000369471
Time: 1.909, Fy: 0.175678, U1: 27.9348, U2: -0.00448043, U3: 0.0224918, U4: -0.000329909
Time: 1.958, Fy: 0.146729, U1: 28.7238, U2: -0.00317325, U3: 0.0236445, U4: -0.000272237
Time: 2.007, Fy: 0.173835, U1: 27.9223, U2: 0.00452084, U3: 0.0150113, U4: -0.000261644
Time: 2.056, Fy: 0.162229, U1: 28.0554, U2: 0.00677752, U3: 0.00959829, U4: -0.000303661
Time: 2.104, Fy: 0.160044, U1: 28.1535, U2: 0.00755669, U3: 0.0063932, U4: -0.000331234
Time: 2.153, Fy: 0.242428, U1: 27.5091, U2: 0.00859458, U3: 0.00147135, U4: -0.000331302
Time: 2.203, Fy: 0.195018, U1: 27.3674, U2: 0.00602103, U3: 0.00109436, U4: -0.000293452
Time: 2.251, Fy: 0.144339, U1: 26.6156, U2: 0.00977358, U3: -0.0022908, U4: -0.00020305
Time: 2.298, Fy: 0.15676, U1: 26.0397, U2: 0.0129912, U3: -0.0047781, U4: -0.000122648
