Time: 356.538, x: 0.287539, y: 0.35448, z: 0.505846
Time: 356.8, x: 0.287363, y: 0.354373, z: 0.505846
Time: 356.835, x: 0.28734, y: 0.354357, z: 0.505846
Time: 356.87, x: 0.287316, y: 0.35434, z: 0.505846
Time: 356.904, x: 0.287294, y: 0.354323, z: 0.505846
Time: 356.939, x: 0.287272, y: 0.354305, z: 0.505846
Time: 356.974, x: 0.287248, y: 0.354287, z: 0.505846
Time: 357.009, x: 0.287227, y: 0.354268, z: 0.505846
Time: 357.044, x: 0.287204, y: 0.354248, z: 0.505846
Time: 357.078, x: 0.287183, y: 0.354229, z: 0.505846
Time: 357.113, x: 0.287163, y: 0.354208, z: 0.505846
Time: 357.148, x: 0.287142, y: 0.354187, z: 0.505846
Time: 357.182, x: 0.287122, y: 0.354166, z: 0.505846
Time: 357.217, x: 0.287103, y: 0.354144, z: 0.505845
Time: 357.251, x: 0.287084, y: 0.354121, z: 0.505845
Time: 357.286, x: 0.287064, y: 0.354097, z: 0.505845
Time: 357.32, x: 0.287046, y: 0.354073, z: 0.505845
Time: 357.355, x: 0.287028, y: 0.354048, z: 0.505845
Time: 357.39, x: 0.287009, y: 0.354022, z: 0.505845
Time: 357.425, x: 0.286992, y: 0.353994, z: 0.505844
Time: 357.46, x: 0.286974, y: 0.353966, z: 0.505844
Time: 357.495, x: 0.286958, y: 0.353937, z: 0.505844
Time: 357.531, x: 0.286944, y: 0.353888, z: 0.505843
Time: 357.566, x: 0.286937, y: 0.353885, z: 0.505841
Time: 357.601, x: 0.286925, y: 0.353921, z: 0.505844
Time: 357.636, x: 0.28692, y: 0.353874, z: 0.505842
Time: 357.67, x: 0.286923, y: 0.353991, z: 0.505842
Time: 357.706, x: 0.286916, y: 0.354084, z: 0.505839
Time: 357.74, x: 0.286907, y: 0.353883, z: 0.505844
Time: 357.775, x: 0.286897, y: 0.353673, z: 0.505836
Time: 357.809, x: 0.286902, y: 0.35357, z: 0.505838
Time: 357.844, x: 0.286924, y: 0.353635, z: 0.505841
Time: 357.877, x: 0.286917, y: 0.353685, z: 0.505842
Time: 357.912, x: 0.286904, y: 0.353537, z: 0.505846
Time: 357.946, x: 0.286878, y: 0.353485, z: 0.505961
Time: 357.981, x: 0.286865, y: 0.353478, z: 0.506669
Time: 358.016, x: 0.28685, y: 0.353542, z: 0.509569
Time: 358.05, x: 0.28685, y: 0.353651, z: 0.51328
Time: 358.084, x: 0.286899, y: 0.353917, z: 0.520626
Time: 358.119, x: 0.286987, y: 0.354186, z: 0.526931
Time: 358.153, x: 0.287251, y: 0.354781, z: 0.5385
Time: 358.188, x: 0.28775, y: 0.355683, z: 0.552599
Time: 358.223, x: 0.288264, y: 0.3565, z: 0.563403
Time: 358.259, x: 0.289383, y: 0.358125, z: 0.581706
Time: 358.293, x: 0.291008, y: 0.360305, z: 0.602447
Time: 358.328, x: 0.293088, y: 0.362943, z: 0.62406
Time: 358.363, x: 0.295056, y: 0.365328, z: 0.641017
Time: 358.397, x: 0.298259, y: 0.369095, z: 0.664738
Time: 358.432, x: 0.301909, y: 0.373243, z: 0.686851
Time: 358.465, x: 0.305047, y: 0.376754, z: 0.702983
Time: 358.502, x: 0.309958, y: 0.382188, z: 0.724406
Time: 358.536, x: 0.315196, y: 0.387936, z: 0.74353
Time: 358.571, x: 0.319529, y: 0.392674, z: 0.757222
Time: 358.606, x: 0.326082, y: 0.399808, z: 0.775176
Time: 358.64, x: 0.332833, y: 0.407121, z: 0.791017
Time: 358.675, x: 0.338272, y: 0.412986, z: 0.802243
Time: 358.709, x: 0.346294, y: 0.421595, z: 0.816852
Time: 358.744, x: 0.352815, y: 0.428541, z: 0.82773
Time: 358.777, x: 0.361022, y: 0.437215, z: 0.840693
Time: 358.812, x: 0.367915, y: 0.444442, z: 0.851138
Time: 358.847, x: 0.377582, y: 0.4545, z: 0.864995
Time: 358.882, x: 0.387567, y: 0.464822, z: 0.878324
Time: 358.917, x: 0.397321, y: 0.474851, z: 0.890239
Time: 358.952, x: 0.404855, y: 0.482561, z: 0.898592
Time: 358.986, x: 0.415526, y: 0.493435, z: 0.909176
Time: 359.022, x: 0.426091, y: 0.504139, z: 0.919753
Time: 359.055, x: 0.433675, y: 0.511781, z: 0.928245
Time: 359.09, x: 0.444695, y: 0.522831, z: 0.94222
Time: 359.125, x: 0.455174, y: 0.533296, z: 0.957638
Time: 359.16, x: 0.463088, y: 0.541178, z: 0.970637
Time: 359.195, x: 0.474052, y: 0.552065, z: 0.990277
Time: 359.231, x: 0.484906, y: 0.562821, z: 1.01133
Time: 359.268, x: 0.495075, y: 0.572867, z: 1.03197
Time: 359.304, x: 0.502673, y: 0.580354, z: 1.04774
Time: 359.34, x: 0.513099, y: 0.590622, z: 1.0695
