Time: 0.25, x: -0.00731469, y: 0.0193566, z: 0.206198, phi: -9.86055e-06, theta: 4.85851e-05, psi: 0.00219455
Time: 0.298, x: -0.00735463, y: 0.0217056, z: 0.206207, phi: -1.40326e-05, theta: -1.89304e-05, psi: 0.0021754
Time: 0.352, x: -0.00735366, y: 0.0249417, z: 0.206233, phi: 1.15143e-05, theta: -4.81158e-06, psi: 0.00209568
Time: 0.404, x: -0.00738173, y: 0.028204, z: 0.20791, phi: -0.000367216, theta: 0.000510032, psi: 0.00199865
Time: 0.457, x: -0.00742511, y: 0.0317952, z: 0.21421, phi: -0.00136026, theta: 0.00180795, psi: 0.00185209
Time: 0.508, x: -0.00740479, y: 0.0355713, z: 0.22469, phi: -0.00288437, theta: 0.00380599, psi: 0.00168559
Time: 0.56, x: -0.00720139, y: 0.0396772, z: 0.239165, phi: -0.004563, theta: 0.00633941, psi: 0.00150759
Time: 0.61, x: -0.0066159, y: 0.0445003, z: 0.258598, phi: -0.00611396, theta: 0.00917453, psi: 0.00131584
Time: 0.659, x: -0.00581388, y: 0.0485511, z: 0.275755, phi: -0.00699203, theta: 0.0111857, psi: 0.00117219
Time: 0.708, x: -0.00386336, y: 0.0554185, z: 0.304118, phi: -0.00776535, theta: 0.0137066, psi: 0.000963237
Time: 0.754, x: -0.00192336, y: 0.0607347, z: 0.324367, phi: -0.00792507, theta: 0.0149824, psi: 0.000827901
Time: 0.802, x: 0.00126292, y: 0.0680503, z: 0.349247, phi: -0.00769601, theta: 0.0160193, psi: 0.00067072
Time: 0.85, x: 0.00418982, y: 0.0739319, z: 0.366578, phi: -0.00726977, theta: 0.0164023, psi: 0.000565109
Time: 0.897, x: 0.00881845, y: 0.0822667, z: 0.387736, phi: -0.00646883, theta: 0.0164601, psi: 0.000441959
Time: 0.94, x: 0.0142712, y: 0.0911158, z: 0.40664, phi: -0.00556861, theta: 0.0160997, psi: 0.000340658
Time: 0.99, x: 0.0188891, y: 0.098061, z: 0.419357, phi: -0.00488742, theta: 0.0156067, psi: 0.000278798
Time: 1.039, x: 0.0257294, y: 0.107692, z: 0.434617, phi: -0.00399459, theta: 0.0147106, psi: 0.000212975
Time: 1.087, x: 0.0333224, y: 0.117689, z: 0.448489, phi: -0.00309589, theta: 0.0135891, psi: 0.000162637
Time: 1.133, x: 0.0394841, y: 0.125404, z: 0.458311, phi: -0.00242499, theta: 0.0126376, psi: 0.00013326
Time: 1.184, x: 0.0482962, y: 0.135966, z: 0.471739, phi: -0.00154501, theta: 0.0112493, psi: 0.000102997
Time: 1.232, x: 0.0577278, y: 0.146786, z: 0.485835, phi: -0.000643489, theta: 0.00972899, psi: 8.04112e-05
Time: 1.28, x: 0.0672941, y: 0.157416, z: 0.49949, phi: 0.000247822, theta: 0.00814505, psi: 6.43317e-05
Time: 1.327, x: 0.0754343, y: 0.166267, z: 0.510063, phi: 0.0010004, theta: 0.00677277, psi: 5.43325e-05
