Time: 0.24, U1: 21.5509, U2: -0.0429953, U3: 0.046558, U4: 6.28327e-08
Time: 0.28, U1: 22, U2: -0.0499974, U3: 0.0499975, U4: 0.000141204
Time: 0.324, U1: 22, U2: -0.0499975, U3: 0.0499975, U4: 0.000135086
Time: 0.369, U1: 22, U2: -0.0499965, U3: 0.0499963, U4: 0.000108288
Time: 0.412, U1: 22, U2: -0.049994, U3: 0.0499916, U4: 8.65371e-05
Time: 0.456, U1: 22, U2: -0.0497375, U3: 0.0374879, U4: 8.15385e-05
Time: 0.499, U1: 22, U2: -0.0215926, U3: 0.00527033, U4: 0.000123602
Time: 0.543, U1: 22, U2: 0.0147827, U3: -0.0289522, U4: 0.000121763
Time: 0.587, U1: 22, U2: 0.0429296, U3: -0.0497362, U4: 6.85577e-06
Time: 0.631, U1: 22, U2: 0.0499727, U3: -0.049981, U4: -0.00021965
Time: 0.675, U1: 21.9999, U2: 0.0499779, U3: -0.0499585, U4: -0.000445058
Time: 0.719, U1: 21.9999, U2: 0.0499507, U3: -0.0467339, U4: -0.000521437
Time: 0.762, U1: 21.9999, U2: 0.0482644, U3: -0.0378151, U4: -0.000534391
Time: 0.806, U1: 21.9999, U2: 0.0416961, U3: -0.0289912, U4: -0.000467583
Time: 0.849, U1: 21.9999, U2: 0.0343083, U3: -0.0216493, U4: -0.00024431
Time: 0.892, U1: 21.9999, U2: 0.0246731, U3: -0.0145242, U4: 0.00024371
Time: 0.935, U1: 21.9999, U2: 0.0189376, U3: -0.0113939, U4: 0.000618893
Time: 0.978, U1: 21.9998, U2: 0.0152929, U3: -0.0101089, U4: 0.000866912
Time: 1.021, U1: 21.9998, U2: 0.0121322, U3: -0.00916828, U4: 0.000949893
Time: 1.06, U1: 21.9995, U2: 0.014715, U3: -0.0127862, U4: 0.000860294
Time: 1.103, U1: 21.1844, U2: 0.0116, U3: -0.00970575, U4: 0.000614163
Time: 1.142, U1: 20.5646, U2: 0.0141005, U3: -0.0118687, U4: 0.000370821
Time: 1.184, U1: 20.6017, U2: 0.00499182, U3: -0.00194354, U4: 0.000123163
Time: 1.225, U1: 20.3485, U2: 0.000917248, U3: 0.00254681, U4: -2.8433e-05
Time: 1.263, U1: 20.5754, U2: -0.00079221, U3: 0.00450642, U4: -6.8385e-05
Time: 1.303, U1: 21.3017, U2: -0.0111497, U3: 0.0144301, U4: -4.20831e-05
Time: 1.344, U1: 20.6963, U2: -0.0137131, U3: 0.0161405, U4: 3.76815e-05
Time: 1.383, U1: 20.8738, U2: -0.0137099, U3: 0.0151768, U4: 0.00014194
Time: 1.423, U1: 20.9992, U2: -0.0159098, U3: 0.0156266, U4: 0.000233156
Time: 1.463, U1: 20.5964, U2: -0.0135025, U3: 0.0121425, U4: 0.0002552
Time: 1.504, U1: 19.2216, U2: -0.00696126, U3: 0.00504797, U4: 0.000226095
Time: 1.543, U1: 18.3447, U2: 0.000493125, U3: -0.00234156, U4: 0.000180651
Time: 1.58, U1: 18.058, U2: 0.00485395, U3: -0.00636655, U4: 0.000143928
Time: 1.617, U1: 20.6667, U2: -0.00856789, U3: 0.00684809, U4: 6.99937e-05
Time: 1.657, U1: 20.9832, U2: -0.0164444, U3: 0.0147052, U4: 8.50876e-06
Time: 1.697, U1: 21.1443, U2: -0.0193797, U3: 0.0178069, U4: -2.41947e-05
