Time: 369.368, x: 0.299634, y: 0.29963, z: 0.483874
Time: 369.406, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.44, x: 0.299634, y: 0.29963, z: 0.483865
Time: 369.474, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.508, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.542, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.576, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.61, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.645, x: 0.299634, y: 0.29963, z: 0.483874
Time: 369.679, x: 0.299634, y: 0.29963, z: 0.483865
Time: 369.714, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.748, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.783, x: 0.299634, y: 0.29963, z: 0.483865
Time: 369.816, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.851, x: 0.299634, y: 0.29963, z: 0.483865
Time: 369.885, x: 0.299634, y: 0.29963, z: 0.483874
Time: 369.919, x: 0.299634, y: 0.29963, z: 0.483865
Time: 369.953, x: 0.299634, y: 0.29963, z: 0.483875
Time: 369.988, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.022, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.056, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.091, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.125, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.159, x: 0.299634, y: 0.29963, z: 0.483865
Time: 370.194, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.229, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.263, x: 0.299634, y: 0.29963, z: 0.483865
Time: 370.298, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.333, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.367, x: 0.299634, y: 0.29963, z: 0.483865
Time: 370.402, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.436, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.471, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.504, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.539, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.573, x: 0.299634, y: 0.29963, z: 0.483865
Time: 370.607, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.641, x: 0.299634, y: 0.29963, z: 0.483874
Time: 370.676, x: 0.299634, y: 0.29963, z: 0.483865
Time: 370.71, x: 0.299634, y: 0.29963, z: 0.483875
Time: 370.745, x: 0.299632, y: 0.299627, z: 0.483985
Time: 370.779, x: 0.299626, y: 0.299621, z: 0.484398
Time: 370.814, x: 0.299622, y: 0.299615, z: 0.48573
Time: 370.848, x: 0.299657, y: 0.299638, z: 0.487944
Time: 370.883, x: 0.299736, y: 0.299697, z: 0.490067
Time: 370.917, x: 0.299989, y: 0.299892, z: 0.493939
Time: 370.952, x: 0.30048, y: 0.300276, z: 0.498625
Time: 370.985, x: 0.301039, y: 0.300717, z: 0.5025
Time: 371.021, x: 0.30225, y: 0.301687, z: 0.508895
Time: 371.055, x: 0.303944, y: 0.303067, z: 0.515826
Time: 371.089, x: 0.305642, y: 0.304473, z: 0.521625
Time: 371.124, x: 0.308671, y: 0.307023, z: 0.530492
Time: 371.158, x: 0.311151, y: 0.309144, z: 0.536911
Time: 371.192, x: 0.315603, y: 0.313003, z: 0.547296
Time: 371.226, x: 0.32096, y: 0.317719, z: 0.558585
Time: 371.261, x: 0.32504, y: 0.321355, z: 0.566612
Time: 371.295, x: 0.331915, y: 0.32756, z: 0.579402
Time: 371.33, x: 0.339676, y: 0.334663, z: 0.593096
Time: 371.364, x: 0.345325, y: 0.33989, z: 0.602727
Time: 371.398, x: 0.354478, y: 0.348446, z: 0.617932
Time: 371.433, x: 0.36417, y: 0.357602, z: 0.633659
Time: 371.467, x: 0.37142, y: 0.36451, z: 0.645304
Time: 371.502, x: 0.382506, y: 0.37515, z: 0.662955
Time: 371.536, x: 0.393596, y: 0.385876, z: 0.680556
Time: 371.571, x: 0.402324, y: 0.394369, z: 0.694432
Time: 371.606, x: 0.414912, y: 0.406688, z: 0.714488
Time: 371.64, x: 0.427252, y: 0.418838, z: 0.733878
Time: 371.674, x: 0.436799, y: 0.428281, z: 0.748274
Time: 371.709, x: 0.450344, y: 0.441743, z: 0.768097
Time: 371.743, x: 0.459505, y: 0.450889, z: 0.78119
Time: 371.778, x: 0.473421, y: 0.464843, z: 0.800539
Time: 371.814, x: 0.48741, y: 0.478943, z: 0.819215
Time: 371.849, x: 0.501082, y: 0.492792, z: 0.836882
Time: 371.884, x: 0.510791, y: 0.502668, z: 0.849316
Time: 371.92, x: 0.52477, y: 0.516939, z: 0.86701
Time: 371.955, x: 0.538649, y: 0.531171, z: 0.884518
Time: 371.991, x: 0.551686, y: 0.54459, z: 0.900937
Time: 372.026, x: 0.56145, y: 0.554669, z: 0.913191
Time: 372.062, x: 0.574881, y: 0.568571, z: 0.929653
Time: 372.097, x: 0.588101, y: 0.58229, z: 0.944879
Time: 372.132, x: 0.596774, y: 0.591308, z: 0.954792
Time: 372.168, x: 0.609536, y: 0.604603, z: 0.970074
Time: 372.204, x: 0.622289, y: 0.617917, z: 0.986405
Time: 372.239, x: 0.633764, y: 0.629915, z: 1.00216
Time: 372.275, x: 0.642232, y: 0.638778, z: 1.01463
Time: 372.311, x: 0.653719, y: 0.650806, z: 1.03275
Time: 372.346, x: 0.664862, y: 0.662474, z: 1.05133
Time: 372.382, x: 0.675134, y: 0.67322, z: 1.06914
Time: 372.417, x: 0.682718, y: 0.681144, z: 1.08276
Time: 372.453, x: 0.69303, y: 0.691897, z: 1.1018
Time: 372.488, x: 0.703074, y: 0.702343, z: 1.12045
Time: 372.523, x: 0.709636, y: 0.70915, z: 1.13234
Time: 372.557, x: 0.719292, y: 0.719136, z: 1.1493
Time: 372.593, x: 0.728715, y: 0.728841, z: 1.16622
Time: 372.629, x: 0.734874, y: 0.73516, z: 1.17745
Time: 372.664, x: 0.743915, y: 0.744399, z: 1.19492
Time: 372.7, x: 0.752783, y: 0.753409, z: 1.21309
Time: 372.736, x: 0.761493, y: 0.762204, z: 1.23167
Time: 372.771, x: 0.767234, y: 0.767971, z: 1.24415
Time: 372.807, x: 0.775774, y: 0.776503, z: 1.26236
Time: 372.842, x: 0.784265, y: 0.784932, z: 1.27672
Time: 372.877, x: 0.792525, y: 0.793083, z: 1.28112
Time: 372.912, x: 0.798399, y: 0.798852, z: 1.27922
Time: 372.948, x: 0.806908, y: 0.807175, z: 1.27415
Time: 372.983, x: 0.815461, y: 0.815506, z: 1.26878
Time: 373.019, x: 0.823627, y: 0.823431, z: 1.26395
Time: 373.054, x: 0.829846, y: 0.82945, z: 1.26065
Time: 373.09, x: 0.83857, y: 0.837878, z: 1.25676
Time: 373.125, x: 0.847378, y: 0.846372, z: 1.25374
Time: 373.161, x: 0.8533, y: 0.852077, z: 1.2522
Time: 373.196, x: 0.86229, y: 0.860734, z: 1.25046
Time: 373.231, x: 0.871364, y: 0.869467, z: 1.2494
Time: 373.266, x: 0.877476, y: 0.875352, z: 1.24897
Time: 373.3, x: 0.886745, y: 0.884284, z: 1.24881
Time: 373.334, x: 0.896129, y: 0.893337, z: 1.24913
Time: 373.369, x: 0.902448, y: 0.89944, z: 1.24935
Time: 373.403, x: 0.912019, y: 0.908698, z: 1.24965
Time: 373.437, x: 0.921687, y: 0.918069, z: 1.24991
Time: 373.472, x: 0.928186, y: 0.924379, z: 1.25006
Time: 373.507, x: 0.938009, y: 0.933938, z: 1.25027
Time: 373.541, x: 0.947917, y: 0.943604, z: 1.25043
Time: 373.575, x: 0.954564, y: 0.950102, z: 1.25052
Time: 373.609, x: 0.964598, y: 0.959933, z: 1.25062
Time: 373.644, x: 0.97444, y: 0.969604, z: 1.25068
Time: 373.679, x: 0.981472, y: 0.976528, z: 1.2507
Time: 373.714, x: 0.99168, y: 0.986603, z: 1.2507
Time: 373.748, x: 1.00168, y: 0.996502, z: 1.25067
Time: 373.782, x: 1.00883, y: 1.00358, z: 1.25062
Time: 373.817, x: 1.01919, y: 1.01388, z: 1.25053
Time: 373.852, x: 1.02933, y: 1.02398, z: 1.25043
Time: 373.886, x: 1.03655, y: 1.0312, z: 1.25036
Time: 373.921, x: 1.04702, y: 1.04167, z: 1.25026
Time: 373.956, x: 1.05723, y: 1.05191, z: 1.25018
Time: 373.99, x: 1.06449, y: 1.05921, z: 1.25013
Time: 374.025, x: 1.07498, y: 1.06978, z: 1.25007
Time: 374.059, x: 1.08492, y: 1.07982, z: 1.25003
Time: 374.093, x: 1.09244, y: 1.08741, z: 1.25001
Time: 374.128, x: 1.10048, y: 1.09556, z: 1.24999
Time: 374.162, x: 1.11093, y: 1.10615, z: 1.24998
Time: 374.196, x: 1.12136, y: 1.11673, z: 1.24998
Time: 374.231, x: 1.12829, y: 1.12377, z: 1.24998
Time: 374.266, x: 1.13869, y: 1.13433, z: 1.24998
Time: 374.301, x: 1.14906, y: 1.14487, z: 1.24999
Time: 374.336, x: 1.15596, y: 1.15189, z: 1.24999
Time: 374.369, x: 1.16628, y: 1.16238, z: 1.25
Time: 374.404, x: 1.17657, y: 1.17284, z: 1.25
Time: 374.438, x: 1.18342, y: 1.1798, z: 1.25001
Time: 374.473, x: 1.19365, y: 1.1902, z: 1.25001
Time: 374.508, x: 1.20386, y: 1.20056, z: 1.25001
Time: 374.542, x: 1.21065, y: 1.20744, z: 1.25001
Time: 374.577, x: 1.2208, y: 1.21774, z: 1.25001
Time: 374.611, x: 1.23093, y: 1.22799, z: 1.25001
Time: 374.646, x: 1.23767, y: 1.23481, z: 1.25001
Time: 374.68, x: 1.24775, y: 1.245, z: 1.25001
Time: 374.715, x: 1.25781, y: 1.25515, z: 1.25001
Time: 374.75, x: 1.2645, y: 1.2619, z: 1.25001
Time: 374.784, x: 1.2745, y: 1.27197, z: 1.25001
Time: 374.819, x: 1.28448, y: 1.282, z: 1.25001
Time: 374.853, x: 1.29111, y: 1.28867, z: 1.25001
Time: 374.887, x: 1.30105, y: 1.29864, z: 1.25001
Time: 374.922, x: 1.31072, y: 1.30833, z: 1.25001
Time: 374.956, x: 1.31758, y: 1.3152, z: 1.25001
Time: 374.991, x: 1.3275, y: 1.32512, z: 1.25001
