Time: 0.24, x: -9.87856e-11, y: -1.81075e-08, z: 0.184225, phi: 5.9824e-08, theta: -3.26235e-10, psi: -7.37068e-13
Time: 0.28, x: -1.04268e-10, y: -1.81205e-08, z: 0.184225, phi: 5.98081e-08, theta: -3.44172e-10, psi: -8.1861e-13
Time: 0.324, x: -1.48465e-10, y: -1.81087e-08, z: 0.184224, phi: 5.96781e-08, theta: -4.90978e-10, psi: -9.4344e-13
Time: 0.369, x: -6.17829e-06, y: -5.14838e-06, z: 0.184656, phi: -0.000257958, theta: 0.00031106, psi: 5.23117e-07
Time: 0.412, x: -1.6528e-05, y: -1.37428e-05, z: 0.186236, phi: -0.00122417, theta: 0.00147585, psi: 2.35182e-06
Time: 0.456, x: 1.53912e-05, y: 1.27219e-05, z: 0.189052, phi: -0.00295435, theta: 0.00356161, psi: 5.03709e-06
Time: 0.499, x: 0.000168253, y: 0.000139508, z: 0.192975, phi: -0.00536981, theta: 0.00647343, psi: 7.48258e-06
Time: 0.543, x: 0.000568729, y: 0.00047044, z: 0.198186, phi: -0.00858146, theta: 0.0102688, psi: 9.08762e-06
Time: 0.587, x: 0.00137489, y: 0.00113664, z: 0.204604, phi: -0.0123938, theta: 0.0145445, psi: 1.03213e-05
Time: 0.631, x: 0.00277039, y: 0.00230063, z: 0.21222, phi: -0.016348, theta: 0.0187106, psi: 1.21924e-05
Time: 0.675, x: 0.00493326, y: 0.0041313, z: 0.221025, phi: -0.0199427, theta: 0.0222324, psi: 1.50278e-05
Time: 0.719, x: 0.00801008, y: 0.00677943, z: 0.231005, phi: -0.0228631, theta: 0.0248585, psi: 1.73497e-05
Time: 0.762, x: 0.0120019, y: 0.0102716, z: 0.241885, phi: -0.0249945, theta: 0.026552, psi: 1.71235e-05
Time: 0.806, x: 0.016393, y: 0.0141685, z: 0.25242, phi: -0.0262826, theta: 0.0273447, psi: 1.41292e-05
Time: 0.849, x: 0.0217677, y: 0.0190019, z: 0.264127, phi: -0.0270282, theta: 0.0275293, psi: 7.2492e-06
Time: 0.892, x: 0.0303051, y: 0.0267972, z: 0.281143, phi: -0.0271687, theta: 0.0269819, psi: -1.08136e-05
Time: 0.935, x: 0.037717, y: 0.0336592, z: 0.294961, phi: -0.0267227, theta: 0.0261145, psi: -3.10214e-05
Time: 0.978, x: 0.0459623, y: 0.0413755, z: 0.309688, phi: -0.0258968, theta: 0.0249605, psi: -5.48283e-05
Time: 1.021, x: 0.0581855, y: 0.0529433, z: 0.330741, phi: -0.0243636, theta: 0.0231125, psi: -8.55297e-05
Time: 1.06, x: 0.0682173, y: 0.06253, z: 0.347601, phi: -0.0229637, theta: 0.0215411, psi: -0.000103686
Time: 1.103, x: 0.0789347, y: 0.072848, z: 0.365381, phi: -0.0213942, theta: 0.0198299, psi: -0.000115292
Time: 1.142, x: 0.0905826, y: 0.0841376, z: 0.384579, phi: -0.0196268, theta: 0.0179256, psi: -0.000119667
Time: 1.184, x: 0.102514, y: 0.0957739, z: 0.404104, phi: -0.0177374, theta: 0.0158972, psi: -0.000117416
Time: 1.225, x: 0.114933, y: 0.107953, z: 0.423918, phi: -0.0157036, theta: 0.0137226, psi: -0.000110931
Time: 1.263, x: 0.127762, y: 0.120601, z: 0.443673, phi: -0.0135249, theta: 0.011407, psi: -0.00010245
Time: 1.303, x: 0.140929, y: 0.133651, z: 0.463326, phi: -0.0112882, theta: 0.00906506, psi: -9.45793e-05
Time: 1.344, x: 0.154363, y: 0.147034, z: 0.482778, phi: -0.009041, theta: 0.00675987, psi: -8.87212e-05
Time: 1.383, x: 0.167996, y: 0.160684, z: 0.502219, phi: -0.00681998, theta: 0.00453784, psi: -8.52164e-05
Time: 1.423, x: 0.185662, y: 0.178477, z: 0.527579, phi: -0.0041594, theta: 0.00197918, psi: -8.38064e-05
Time: 1.463, x: 0.199866, y: 0.19286, z: 0.547962, phi: -0.0022197, theta: 0.000196915, psi: -8.38931e-05
Time: 1.504, x: 0.214426, y: 0.207673, z: 0.569039, phi: -0.00041744, theta: -0.00139188, psi: -8.36867e-05
Time: 1.543, x: 0.22823, y: 0.221773, z: 0.589242, phi: 0.00111317, theta: -0.0026897, psi: -8.23461e-05
Time: 1.58, x: 0.238092, y: 0.231876, z: 0.603579, phi: 0.00212397, theta: -0.00352794, psi: -8.04962e-05
Time: 1.617, x: 0.251741, y: 0.245895, z: 0.622566, phi: 0.00347404, theta: -0.00464875, psi: -7.67609e-05
Time: 1.657, x: 0.265269, y: 0.259823, z: 0.639887, phi: 0.00483218, theta: -0.00580471, psi: -7.19751e-05
Time: 1.697, x: 0.278642, y: 0.273621, z: 0.655673, phi: 0.00621526, theta: -0.00701309, psi: -6.65585e-05
Time: 1.737, x: 0.291805, y: 0.287233, z: 0.671337, phi: 0.00749439, theta: -0.00812039, psi: -6.10658e-05
Time: 1.777, x: 0.308311, y: 0.304341, z: 0.691751, phi: 0.00884942, theta: -0.00923182, psi: -5.43746e-05
Time: 1.817, x: 0.321179, y: 0.317706, z: 0.708502, phi: 0.0096611, theta: -0.00982029, psi: -4.93769e-05
Time: 1.858, x: 0.334035, y: 0.331078, z: 0.726088, phi: 0.0102439, theta: -0.0101533, psi: -4.46808e-05
Time: 1.898, x: 0.34594, y: 0.343471, z: 0.743261, phi: 0.0105842, theta: -0.0102495, psi: -4.08127e-05
Time: 1.938, x: 0.357815, y: 0.355835, z: 0.761567, phi: 0.0107192, theta: -0.0101404, psi: -3.76427e-05
Time: 1.979, x: 0.369075, y: 0.367553, z: 0.779867, phi: 0.0106838, theta: -0.00988709, psi: -3.54572e-05
Time: 2.018, x: 0.380025, y: 0.378937, z: 0.798749, phi: 0.0104977, theta: -0.00950894, psi: -3.40931e-05
Time: 2.056, x: 0.390679, y: 0.389993, z: 0.818227, phi: 0.0101686, theta: -0.00901571, psi: -3.33287e-05
Time: 2.097, x: 0.401068, y: 0.40075, z: 0.837445, phi: 0.0097846, theta: -0.00850243, psi: -3.30467e-05
Time: 2.136, x: 0.411212, y: 0.411225, z: 0.856146, phi: 0.0093835, theta: -0.00800685, psi: -3.30116e-05
Time: 2.175, x: 0.421114, y: 0.421414, z: 0.875011, phi: 0.0088803, theta: -0.00743159, psi: -3.27142e-05
Time: 2.214, x: 0.430792, y: 0.431338, z: 0.893841, phi: 0.0082577, theta: -0.00675322, psi: -3.18881e-05
Time: 2.253, x: 0.440268, y: 0.441013, z: 0.912639, phi: 0.0075225, theta: -0.00597536, psi: -3.04977e-05
Time: 2.292, x: 0.450276, y: 0.451186, z: 0.932588, phi: 0.00664711, theta: -0.0050723, psi: -2.86531e-05
Time: 2.332, x: 0.459415, y: 0.46043, z: 0.950684, phi: 0.00579685, theta: -0.00421856, psi: -2.69534e-05
Time: 2.37, x: 0.468435, y: 0.469508, z: 0.968183, phi: 0.00495468, theta: -0.00339952, psi: -2.55279e-05
Time: 2.412, x: 0.477357, y: 0.478444, z: 0.985244, phi: 0.00413097, theta: -0.00262577, psi: -2.44145e-05
Time: 2.449, x: 0.4862, y: 0.487255, z: 1.00248, phi: 0.0032896, theta: -0.0018552, psi: -2.34302e-05
Time: 2.489, x: 0.494985, y: 0.495962, z: 1.02036, phi: 0.00240615, theta: -0.0010564, psi: -2.23872e-05
Time: 2.527, x: 0.503739, y: 0.504599, z: 1.03822, phi: 0.00155436, theta: -0.000305378, psi: -2.13694e-05
Time: 2.567, x: 0.512486, y: 0.513191, z: 1.05589, phi: 0.00078286, theta: 0.000346415, psi: -2.04233e-05
Time: 2.607, x: 0.521245, y: 0.521762, z: 1.0735, phi: 8.79229e-05, theta: 0.000905936, psi: -1.95169e-05
